Frame number	981
First frame	1
Point frequency	200
Analog frequency	1200

Time	L.Trunk			R.Trunk			DistalTrunk			R.UpperArm			R.Elbow			R.Wrist			L.UpperArm			L.Elbow			L.Wrist			R.Crest			R.ASIS			Sacrum			OFFSET			L.ASIS			L.Crest			R.Hip			R.Thigh			R.Knee			R.TibTubercle			R.MidShank			R.DistalShank			R.Heel			R.DistalHeel			R.PosteriorFoot			R.LateralToe			R.Toe			R.MedialToe			L.Hip			L.Thigh			L.Knee			L.TibTubercle			L.MidShank			L.DistalShank			L.Heel			L.DistalHeel			L.PosteriorFoot			L.LateralToe			L.Toe			L.MedialToe		
s	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
3.275	668.954	575.392	1515.07	785.766	587.287	1508.8	751.874	610.818	1417.89	905.594	686.684	1745.58	990.334	747.318	1856.88	886.24	697.372	2096.43	484.224	632.862	1697.94	407.696	669.094	1827.17	444.436	647.247	2087.85	879.401	768.709	1245.27	849.003	859.29	1129.78	734.435	656.612	1155.98	661.217	660.75	1146.26	618.663	855.011	1122.22	573.444	766.207	1218.79	928.342	796.604	1001.11	916.61	872.397	746.87	913.451	794.565	646.357	893.774	861.584	572.665	933.579	743.818	516.1	895.051	800.238	408.729	858.698	626.801	262.619	862.66	606.995	227.926	909.98	634.828	219.101	958.587	830.397	141.829	934.613	856.756	150.866	900.505	849.639	161.912	560.393	791.1	1037.92	587.456	874.163	728.904	577.218	829.264	610.735	616.456	878.512	556.389	565.587	797.786	451.2	628.394	841.306	395.499	644.703	693.703	241.667	625.817	677.153	207.181	586.62	715.975	211.925	538.293	903.242	137.404	569.082	930.204	144.18	600.876	925.374	147.583
3.28	669.207	576.728	1501.62	786.045	588.172	1495.38	752.529	611.497	1404.46	907.36	688.826	1730.86	993.933	750.005	1840.73	886.959	698.726	2078.6	483.314	633.713	1682.86	405.097	670.04	1810.95	445.139	647.224	2070.76	880.216	769.302	1231.55	849.713	860.275	1116.7	735.325	657.183	1141.78	662.02	661.705	1131.82	619.483	855.859	1109.06	574.125	766.495	1204.87	929.151	799.031	987.749	916.988	876.309	734.053	913.932	798.792	633.174	894.143	866.136	559.848	934.227	748.939	502.551	895.87	805.643	395.454	860.284	632.989	248.414	864.523	613.441	213.583	911.609	641.338	204.927	959.219	837.766	128.957	935.316	863.641	138.046	901.101	856.387	149.042	561.222	793.229	1024.24	589.395	878.918	716.06	578.811	835.14	597.711	618.746	883.768	543.374	566.553	803.729	438.168	630.2	846.366	382.482	644.063	698.087	227.822	624.646	682.11	193.417	586.323	721.754	198.562	540.829	910.302	125.979	572.235	936.722	132.845	603.771	931.213	135.911
3.285	669.371	577.881	1487.89	786.283	588.904	1481.83	753.104	611.953	1390.78	909.091	690.888	1715.8	997.093	751.878	1824.25	887.77	700.103	2060.45	482.544	634.586	1667.42	402.35	671.061	1794.35	445.78	647.329	2053.37	880.929	769.975	1217.85	850.419	861.341	1103.47	736.201	658.004	1127.36	662.937	662.481	1117.31	620.213	856.801	1095.66	574.592	766.666	1190.63	930.026	801.492	974.257	917.216	879.617	720.922	914.462	802.745	619.722	894.488	870.554	546.817	934.997	753.824	488.711	896.712	811.237	382.029	862.363	638.926	233.75	866.16	619.999	198.918	913.283	648.319	190.447	960.042	845.384	115.777	935.891	871.22	124.957	901.82	863.642	135.968	562.13	795.347	1010.31	591.491	883.687	703.079	580.446	840.838	584.507	620.994	888.986	530.211	567.821	809.672	424.907	632.137	851.348	369.288	643.531	702.653	213.712	623.782	687.267	179.31	585.974	727.374	185.056	543.43	917.47	114.33	575.226	943.219	121.259	606.846	937.266	124.209
3.29	669.59	579.148	1473.97	786.689	588.934	1468.25	753.333	612.391	1376.8	910.533	692.646	1700.56	1000.7	754.452	1807.41	888.796	701.946	2042.41	481.328	635.12	1651.98	399.66	672.029	1777.47	446.349	647.514	2035.6	881.61	770.681	1203.8	851.155	862.342	1089.94	737.274	658.722	1112.66	663.924	663.43	1102.36	620.991	857.506	1081.97	575.029	766.877	1176.11	930.866	803.721	960.466	917.43	882.731	707.57	914.863	806.422	606.096	894.789	874.903	533.633	935.876	758.586	474.784	897.528	816.6	368.511	863.993	645.717	218.783	867.978	626.904	183.758	914.94	655.503	175.497	960.966	853.256	102.254	936.714	878.892	111.705	902.64	871.221	122.557	563.06	797.203	996.134	593.624	888.271	689.674	581.989	846.472	571.028	623.311	894	516.811	569.011	815.564	411.48	633.871	856.487	355.835	643.201	707.463	199.414	623.117	692.587	164.927	586.016	733.409	171.16	546.016	924.684	102.393	578.247	949.865	109.362	609.668	943.359	112.09
3.295	669.712	580.276	1459.93	786.82	590.382	1454.08	753.884	612.919	1362.71	912.589	695.185	1684.85	1004.23	756.586	1790.27	889.751	703.523	2023.59	480.684	636.273	1636.06	396.886	672.75	1760.21	446.829	647.686	2017.32	882.262	771.603	1189.52	851.858	863.271	1076.12	738.153	659.66	1097.74	664.91	664.128	1087.43	621.666	858.358	1068.08	575.536	766.938	1161.44	931.639	805.839	946.389	917.664	885.747	694.048	914.952	810.195	592.094	895.111	879.15	520.225	936.656	763.477	460.479	898.411	822.339	354.746	865.553	652.548	203.399	869.61	634.161	168.291	916.402	662.889	160.064	961.791	861.447	88.8139	937.384	886.999	98.5113	903.312	879.034	109.114	563.961	799.017	981.712	595.783	892.72	676.253	584.011	851.949	557.26	625.54	899.01	503.3	570.212	821.464	397.705	635.625	861.36	342.141	643.163	712.459	184.836	622.745	698.27	150.159	586.084	739.321	157.143	548.507	931.853	90.5879	581.171	956.411	97.5743	612.509	949.526	100.112
3.3	669.984	581.736	1445.62	786.985	591.357	1439.81	754.464	613.87	1348.2	914.652	697.315	1668.95	1007.28	758.735	1772.69	890.653	704.607	2003.91	479.789	637.078	1620.03	393.939	673.589	1742.81	447.304	647.864	1998.75	882.864	772.549	1175.12	852.45	864.224	1062.08	739.077	660.306	1082.47	665.756	664.971	1072.03	564.859	800.713	967.112	575.993	767.201	1146.53	932.41	807.734	932.135	917.863	888.7	680.313	915.322	813.715	578.025	895.505	883.366	506.584	937.34	768.422	445.797	899.038	828.305	340.565	866.49	658.417	187.954	870.504	640.562	152.551	917.448	669.335	145.077	963.043	869.542	79.9157	937.409	894.543	88.3794	903.248	886.042	97.7161	622.311	859.23	1054	597.948	897.077	662.583	585.598	856.938	543.315	627.749	903.806	489.466	571.443	827.108	383.732	637.515	866.411	328.303	644.363	716.778	169.297	623.546	703.22	134.559	586.949	743.978	142.76	549.77	937.767	83.195	583.227	961.683	89.6996	614.279	954.752	91.4326
3.305	670.2	582.872	1431	787.218	591.657	1425.46	754.723	614.283	1333.67	916.403	699.289	1652.85	1011.35	760.866	1755.05	891.768	706.307	1984.41	478.906	638.053	1603.7	390.984	674.517	1724.83	447.741	648.216	1979.74	883.461	773.431	1160.52	853.041	865.155	1047.78	740.112	661.188	1067.04	666.735	665.594	1056.65	565.582	802.317	952.368	576.433	767.466	1131.51	933.267	809.705	917.7	918.318	891.567	666.303	915.802	817.354	563.463	895.91	887.834	492.505	938.315	773.184	430.971	899.415	832.302	326.721	862.707	658.903	173.642	868.307	641.981	137.88	915.873	670.417	133.306	965.374	874.747	78.0075	938.319	899.162	85.11	904.12	890.298	93.8229	623.096	859.819	1039.7	599.92	901.176	648.663	586.967	861.822	529.247	629.81	908.607	475.542	572.632	832.624	369.528	639.415	870.656	314.308	648.439	716.573	152.96	626.648	704.357	118.258	590.083	744.579	129.664	549.059	941.852	81.7461	582.62	965.535	88.3494	613.971	958.492	89.5478
3.31	670.471	584.059	1416.15	787.507	593.081	1410.63	755.336	615.071	1318.84	918.692	701.464	1636.41	1014.83	763.104	1736.97	892.504	708.141	1964.57	478.027	638.687	1587.36	388.559	675.702	1706.59	448.132	648.623	1960.52	884.193	774.595	1145.78	853.571	865.911	1033.21	740.994	661.61	1051.44	667.388	666.115	1040.99	566.448	803.858	937.28	576.802	767.731	1116.15	934.006	811.379	902.922	919.037	894.641	652.123	915.366	822.081	548.429	896.317	892.633	477.997	939.655	777.745	415.96	897.328	833.641	312.257	857.903	656.841	161.528	865.923	640.231	125.839	913.084	669.452	125.218	966.463	874.635	78.5066	939.255	898.8	85.79	904.728	888.796	92.7437	623.58	860.688	1025.14	601.342	905.304	634.585	588.731	866.859	514.789	631.649	913.529	461.248	573.906	837.045	354.596	642.206	872.108	300.294	654.499	714.54	137.203	631.019	703.811	103.172	595.069	743.202	118.259	548.721	942.366	82.3856	582.078	966.113	89.4708	613.537	959.36	89.8715
3.315	670.767	585.152	1401.15	787.883	593.431	1395.89	755.589	615.43	1303.74	920.703	703.468	1619.74	1018.14	765.325	1718.65	893.741	710.431	1944.57	477.008	639.607	1570.48	385.609	676.527	1688.09	448.423	649.072	1940.65	884.839	775.273	1130.78	854.017	866.532	1018.45	741.7	661.9	1035.67	668.046	666.438	1025.11	567.153	805.489	922.021	576.993	768.063	1100.78	934.617	813.144	887.994	920.423	898.46	637.746	914.839	828.007	533.236	896.107	897.409	462.866	940.565	782.333	401.453	892.948	832.259	298.023	853.849	648.601	147.971	862.762	634.534	111.459	909.886	663.884	113.966	963.645	870.872	80.2854	936.372	894.169	87.4708	901.548	884.27	92.3784	624.244	861.286	1010.34	602.045	909.829	620.243	590.612	872.283	499.87	633.489	918.204	446.24	577.036	839.104	339.543	646.339	870.789	285.861	658.757	709.911	123.075	634.285	700.707	88.9544	598.403	738.815	106.707	549.977	938.621	83.2728	583.197	962.17	90.801	614.784	956.04	90.2557
3.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3.495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
